,State_FIPS10,County_FIPS10,ZCTA5,Total_Pop,Hispanic_Total,Non_Hispanic_Total,NH_White_alone,NH_Black_alone,NH_AIAN_alone,NH_API_alone,NH_Other_alone,NH_Mult_Total,NH_White_Other,NH_Black_Other,NH_AIAN_Other,NH_Asian_HPI,NH_API_Other,NH_Asian_HPI_Other
13323,,,41166,686,2,684,678,3,0,0,0,3,0,0,0,0,0,0
13324,,,41168,2250,17,2233,2200,5,5,7,0,16,2,0,0,0,0,0
13325,,,41169,4215,11,4204,4105,32,7,37,3,20,0,0,0,0,0,0
13326,,,41171,4084,27,4057,3759,261,8,6,2,21,0,0,0,0,0,0
13327,,,41174,871,7,864,842,3,8,3,0,8,0,0,0,0,0,0
13328,,,41175,4318,10,4308,4250,6,16,3,0,33,1,0,0,0,0,0
13329,,,41179,6019,22,5997,5933,17,15,2,0,30,1,0,0,0,0,0
13330,,,41180,861,1,860,850,0,1,1,0,8,0,0,0,0,0,0
13331,,,41183,1246,5,1241,1220,1,2,9,1,8,0,0,0,0,0,0
13332,,,41189,1742,11,1731,1724,1,1,2,0,3,1,0,0,0,0,0
13333,,,41201,194,2,192,188,0,0,0,0,4,0,0,0,0,0,0
13334,,,41203,537,0,537,532,2,1,1,0,1,0,0,0,0,0,0
13335,,,41204,417,0,417,415,0,0,0,0,2,0,0,0,0,0,0
13336,,,41214,522,0,522,521,0,0,0,0,1,0,0,0,0,0,0
13337,,,41216,1021,3,1018,1006,0,2,7,0,3,0,0,0,0,0,0
13338,,,41219,1559,1,1558,1540,1,2,3,0,12,0,0,0,0,0,0
13339,,,41222,2021,11,2010,1980,4,5,6,0,15,0,0,0,0,0,0
13340,,,41224,5313,357,4956,4020,873,28,13,0,22,0,0,1,0,0,0
13341,,,41226,131,0,131,131,0,0,0,0,0,0,0,0,0,0,0
13342,,,41230,8993,34,8959,8849,18,11,17,2,62,1,0,0,0,0,0
13343,,,41231,746,2,744,743,0,0,1,0,0,0,0,0,0,0,0
13344,,,41232,591,0,591,588,0,0,0,0,3,0,0,0,0,0,0
13345,,,41234,448,3,445,442,0,0,0,0,3,0,0,0,0,0,0
13346,,,41238,652,6,646,642,1,0,0,0,3,0,0,0,0,0,0
13347,,,41240,5550,20,5530,5443,15,5,21,0,46,3,0,0,0,0,0
13348,,,41250,929,3,926,914,0,7,0,0,5,0,0,0,0,0,0
13349,,,41254,433,2,431,427,0,1,0,1,2,0,0,0,0,0,0
13350,,,41255,813,0,813,805,2,0,4,0,2,0,0,0,0,0,0
13351,,,41256,1847,8,1839,1803,1,2,23,0,10,0,0,0,0,0,0
13352,,,41257,278,0,278,276,2,0,0,0,0,0,0,0,0,0,0
13353,,,41260,696,5,691,669,19,0,1,0,2,0,0,0,0,0,0
13354,,,41262,1104,4,1100,1084,0,3,4,0,9,0,0,0,0,0,0
13355,,,41263,381,2,379,379,0,0,0,0,0,0,0,0,0,0,0
13356,,,41264,309,0,309,307,0,0,0,0,2,0,0,0,0,0,0
13357,,,41265,1426,2,1424,1410,2,3,6,0,3,0,0,0,0,0,0
13358,,,41267,906,4,902,893,0,3,2,0,4,1,0,0,0,0,0
13359,,,41268,314,0,314,312,0,1,0,0,1,0,0,0,0,0,0
13360,,,41271,199,1,198,196,0,0,0,0,2,0,0,0,0,0,0
13361,,,41274,431,2,429,426,1,0,1,0,1,0,0,0,0,0,0
13362,,,41301,4721,20,4701,4653,5,15,2,0,26,1,0,1,0,0,0
13363,,,41311,6055,47,6008,5770,179,18,12,0,29,0,0,0,0,0,0
13364,,,41314,4069,23,4046,4007,5,10,2,1,21,0,0,0,1,0,0
13365,,,41317,139,0,139,136,2,0,0,1,0,0,0,0,0,0,0
13366,,,41332,927,4,923,918,0,0,1,0,4,0,0,0,0,0,0
13367,,,41339,8409,45,8364,8266,9,8,44,0,37,1,0,0,0,1,0
13368,,,41348,946,1,945,942,0,0,1,0,2,0,0,0,0,0,0
13369,,,41352,512,3,509,505,1,2,0,1,0,0,0,0,0,0,0
13370,,,41360,345,1,344,339,0,0,0,0,5,0,0,0,0,0,0
13371,,,41365,365,1,364,364,0,0,0,0,0,0,0,0,0,0,0
13372,,,41366,16,0,16,16,0,0,0,0,0,0,0,0,0,0,0
13373,,,41367,149,0,149,144,0,0,0,0,5,0,0,0,0,0,0
13374,,,41385,358,2,356,350,1,0,0,0,5,0,0,0,0,0,0
13375,,,41390,38,1,37,37,0,0,0,0,0,0,0,0,0,0,0
13376,,,41397,49,0,49,49,0,0,0,0,0,0,0,0,0,0,0
13377,,,41408,326,0,326,325,0,1,0,0,0,0,0,0,0,0,0
13378,,,41421,168,1,167,167,0,0,0,0,0,0,0,0,0,0,0
13379,,,41425,860,2,858,851,0,2,1,0,4,0,0,0,0,0,0
13380,,,41464,541,1,540,529,0,9,1,0,1,1,0,0,0,0,0
13381,,,41465,9136,58,9078,9001,9,18,4,1,45,1,0,0,0,0,0
13382,,,41472,8857,79,8778,8079,585,17,32,1,64,0,1,0,0,0,0
13383,,,41501,18369,129,18240,17750,206,21,155,2,106,2,0,0,1,0,0
13384,,,41503,470,21,449,431,2,0,13,0,3,0,0,0,0,1,0
13385,,,41512,781,3,778,771,6,0,0,0,1,0,0,0,0,0,0
13386,,,41513,482,3,479,477,0,0,1,0,1,0,0,0,0,0,0
13387,,,41514,2672,3,2669,2634,12,5,8,0,10,0,0,0,0,0,0
13388,,,41517,84,0,84,84,0,0,0,0,0,0,0,0,0,0,0
13389,,,41519,848,3,845,844,1,0,0,0,0,0,0,0,0,0,0
13390,,,41522,4222,13,4209,4188,2,3,1,2,13,1,0,0,0,0,0
13391,,,41524,310,1,309,309,0,0,0,0,0,0,0,0,0,0,0
13392,,,41526,100,0,100,97,1,0,2,0,0,0,0,0,0,0,0
13393,,,41527,528,2,526,497,8,0,16,0,5,0,0,0,0,2,0
13394,,,41528,777,4,773,766,0,0,0,0,7,0,0,0,0,0,0
13395,,,41531,765,0,765,750,7,1,2,0,5,0,0,0,0,0,0
13396,,,41534,199,0,199,196,0,0,0,0,3,0,0,0,0,0,0
13397,,,41535,409,0,409,398,6,1,1,0,3,0,0,0,0,0,0
13398,,,41537,4139,14,4125,4087,9,7,9,1,12,0,0,0,0,0,0
13399,,,41538,78,0,78,78,0,0,0,0,0,0,0,0,0,0,0
13400,,,41539,1282,0,1282,1272,0,4,0,0,6,0,0,0,0,0,0
13401,,,41540,236,1,235,233,1,1,0,0,0,0,0,0,0,0,0
13402,,,41543,416,1,415,400,8,0,0,0,7,0,0,0,0,0,0
13403,,,41544,721,6,715,711,0,0,1,0,3,0,0,0,0,0,0
13404,,,41547,284,2,282,281,0,1,0,0,0,0,0,0,0,0,0
13405,,,41548,688,5,683,680,1,0,1,0,1,0,0,0,0,0,0
13406,,,41553,1804,5,1799,1791,0,1,0,0,7,2,0,0,0,0,0
13407,,,41554,882,14,868,856,1,1,2,0,8,0,0,0,0,0,0
13408,,,41555,697,2,695,681,4,0,4,0,6,0,0,0,0,0,1
13409,,,41557,1347,11,1336,1335,0,0,1,0,0,0,0,0,0,0,0
13410,,,41558,631,0,631,624,0,3,2,0,2,0,0,0,0,0,0
13411,,,41559,257,2,255,255,0,0,0,0,0,0,0,0,0,0,0
13412,,,41560,301,0,301,298,0,2,0,0,1,0,0,0,0,0,0
13413,,,41562,2116,5,2111,2102,1,2,2,0,4,0,0,0,0,0,0
13414,,,41563,342,1,341,334,0,0,1,0,6,2,0,0,0,0,0
13415,,,41564,887,8,879,870,1,0,0,0,8,0,0,0,0,0,0
13416,,,41566,536,2,534,533,0,0,1,0,0,0,0,0,0,0,0
13417,,,41567,257,2,255,255,0,0,0,0,0,0,0,0,0,0,0
13418,,,41568,823,6,817,812,0,1,1,0,3,0,0,0,1,0,0
13419,,,41571,505,2,503,502,0,0,0,0,1,0,0,0,0,0,0
13420,,,41572,2921,15,2906,2889,1,0,8,0,8,1,0,0,0,0,0
13421,,,41601,608,0,608,598,2,3,0,0,5,0,0,0,0,0,0
13422,,,41602,657,0,657,652,1,2,0,0,2,0,0,0,0,0,0
13423,,,41603,1115,2,1113,1105,3,0,0,0,5,0,0,0,0,0,0
13424,,,41604,483,2,481,481,0,0,0,0,0,0,0,0,0,0,0
13425,,,41605,513,2,511,500,0,3,4,0,4,0,0,0,0,0,0
13426,,,41606,529,3,526,520,1,0,1,0,4,0,0,0,0,0,0
13427,,,41607,249,0,249,249,0,0,0,0,0,0,0,0,0,0,0
13428,,,41612,64,0,64,64,0,0,0,0,0,0,0,0,0,0,0
13429,,,41615,509,6,503,503,0,0,0,0,0,0,0,0,0,0,0
13430,,,41616,610,0,610,610,0,0,0,0,0,0,0,0,0,0,0
13431,,,41619,453,0,453,453,0,0,0,0,0,0,0,0,0,0,0
