,name,geo_id_raw,ZCTA5,State_FIPS20,County_FIPS20,Total_Pop,Hispanic_Total,Non_Hispanic_Total,NH_White_alone,NH_Black_alone,NH_AIAN_alone,NH_API_alone,NH_Other_alone,NH_Mult_Total,NH_White_Other,NH_Black_Other,NH_AIAN_Other,NH_Asian_HPI,NH_Asian_HPI_Other,NH_API_Other
15418,ZCTA5 46350,860Z200US46350,46350,,,34487,2440,32047,29574,878,78,267.0,108,1142,349,10,0,0,0,0.0
15419,ZCTA5 46356,860Z200US46356,46356,,,14504,854,13650,12904,88,23,48.0,35,552,203,0,1,0,0,0.0
15420,ZCTA5 46360,860Z200US46360,46360,,,34999,1933,33066,24342,6890,94,315.0,132,1293,261,33,1,0,0,1.0
15421,ZCTA5 46365,860Z200US46365,46365,,,815,21,794,739,2,0,0.0,3,50,20,0,0,0,0,0.0
15422,ZCTA5 46366,860Z200US46366,46366,,,4459,164,4295,4120,4,6,6.0,13,146,35,0,0,0,0,0.0
15423,ZCTA5 46368,860Z200US46368,46368,,,30884,4907,25977,21364,2970,82,352.0,65,1144,317,15,0,0,0,0.0
15424,ZCTA5 46371,860Z200US46371,46371,,,2801,86,2715,2597,8,7,5.0,1,97,41,0,0,0,0,0.0
15425,ZCTA5 46373,860Z200US46373,46373,,,13656,1240,12416,11453,357,21,216.0,40,329,117,4,0,0,0,0.0
15426,ZCTA5 46374,860Z200US46374,46374,,,775,25,750,718,0,1,1.0,2,28,6,0,0,0,0,0.0
15427,ZCTA5 46375,860Z200US46375,46375,,,19456,2228,17228,14710,1192,12,736.0,43,535,157,6,0,0,0,3.0
15428,ZCTA5 46376,860Z200US46376,46376,,,278,9,269,260,0,0,0.0,0,9,3,0,0,0,0,0.0
15429,ZCTA5 46377,860Z200US46377,46377,,,161,1,160,147,0,1,0.0,0,12,5,0,0,0,0,0.0
15430,ZCTA5 46379,860Z200US46379,46379,,,253,21,232,215,1,1,3.0,0,12,5,0,0,0,0,0.0
15431,ZCTA5 46381,860Z200US46381,46381,,,234,11,223,205,2,0,0.0,0,16,7,0,0,0,0,0.0
15432,ZCTA5 46382,860Z200US46382,46382,,,1620,34,1586,1509,8,5,4.0,4,56,21,0,0,0,0,0.0
15433,ZCTA5 46383,860Z200US46383,46383,,,33374,2401,30973,28145,974,54,597.0,123,1080,312,12,0,8,0,4.0
15434,ZCTA5 46385,860Z200US46385,46385,,,32202,2366,29836,27569,658,36,480.0,86,1007,332,7,0,4,0,0.0
15435,ZCTA5 46390,860Z200US46390,46390,,,2212,57,2155,2040,5,10,10.0,12,78,25,1,0,0,0,0.0
15436,ZCTA5 46391,860Z200US46391,46391,,,7713,418,7295,5985,1058,12,42.0,31,167,55,0,0,0,0,1.0
15437,ZCTA5 46392,860Z200US46392,46392,,,5939,219,5720,5439,19,12,12.0,9,229,98,0,0,0,0,0.0
15438,ZCTA5 46393,860Z200US46393,46393,,,279,16,263,248,3,0,0.0,0,12,6,0,0,0,0,0.0
15439,ZCTA5 46394,860Z200US46394,46394,,,9290,3746,5544,4909,341,9,79.0,14,192,40,6,0,0,0,0.0
15440,ZCTA5 46402,860Z200US46402,46402,,,3968,261,3707,152,3436,5,6.0,20,88,3,11,0,0,0,0.0
15441,ZCTA5 46403,860Z200US46403,46403,,,8765,575,8190,1870,5977,5,40.0,34,264,42,13,0,0,0,0.0
15442,ZCTA5 46404,860Z200US46404,46404,,,11622,385,11237,189,10730,28,11.0,45,234,5,22,0,0,0,0.0
15443,ZCTA5 46405,860Z200US46405,46405,,,8958,2560,6398,5583,396,22,33.0,45,319,95,3,0,0,0,0.0
15444,ZCTA5 46406,860Z200US46406,46406,,,6321,871,5450,1314,3901,8,15.0,23,189,20,8,0,0,0,0.0
15445,ZCTA5 46407,860Z200US46407,46407,,,7191,234,6957,180,6557,0,13.0,41,166,1,8,0,0,0,0.0
15446,ZCTA5 46408,860Z200US46408,46408,,,11377,1309,10068,3666,5813,41,64.0,73,411,68,9,1,1,0,0.0
15447,ZCTA5 46409,860Z200US46409,46409,,,4948,399,4549,407,4002,5,6.0,16,113,16,7,0,0,0,0.0
15448,ZCTA5 46410,860Z200US46410,46410,,,30763,3832,26931,10220,15118,52,491.0,95,955,135,66,0,5,0,1.0
15449,ZCTA5 46501,860Z200US46501,46501,,,2835,103,2732,2617,6,7,3.0,13,86,31,0,0,0,0,0.0
15450,ZCTA5 46502,860Z200US46502,46502,,,27,0,27,23,0,0,1.0,1,2,1,0,0,0,0,0.0
15451,ZCTA5 46504,860Z200US46504,46504,,,2379,95,2284,2192,14,0,18.0,6,54,15,0,0,0,0,0.0
15452,ZCTA5 46506,860Z200US46506,46506,,,7404,838,6566,6361,21,11,39.0,2,132,35,2,0,0,0,2.0
15453,ZCTA5 46507,860Z200US46507,46507,,,7048,447,6601,6138,116,29,103.0,16,199,36,1,0,1,0,0.0
15454,ZCTA5 46508,860Z200US46508,46508,,,112,3,109,105,0,2,0.0,0,2,1,0,0,0,0,0.0
15455,ZCTA5 46510,860Z200US46510,46510,,,2611,74,2537,2464,3,6,5.0,1,58,16,0,0,0,0,0.0
